"corp_code","induty_code"
"00155638","27214"
"00155692","468"
"00155735","27112"
"00155948","474"
"00156044","64992"
"00156150","265"
"00156354","303"
"00156442","478"
"00156488","2413"
"00156521","66199"
"00156600","242"
"00156691","52939"
"00156734","2612"
"00156859","66121"
"00156895","649"
"00156910","64209"
"00156956","75993"
"00157070","2812"
"00157104","264"
"00157399","26299"
"00157539","303"
"00157636","259"
"00157681","20119"
"00157991","23999"
"00158015","24123"
"00158024","242"
"00158112","1721"
"00158149","19221"
"00158219","2612"
"00158307","47320"
"00158316","715"
"00158325","63991"
"00158501","75320"
"00158565","204"
"00158839","27214"
"00158909","64121"
"00158963","212"
"00159005","64992"
"00159023","61220"
"00159102","65121"
"00159175","231"
"00159193","35120"
"00159209","72129"
"00159218","42311"
"00159254","64992"
"00159281","2642"
"00159290","28202"
"00159342","61299"
"00159500","72121"
"00159564","292"
"00159573","24131"
"00159616","29119"
"00159698","35300"
"00159731","468"
"00159740","241"
"00159786","20129"
"00159795","2512"
"00159810","20119"
"00159874","64992"
"00159908","28302"
"00159926","2629"
"00159971","64992"
"00160010","2229"
"00160047","64992"
"00160205","2321"
"00160232","50112"
"00160302","2049"
"00160375","22259"
"00160418","303"
"00160445","13213"
"00160588","20494"
"00160612","20119"
"00160621","20423"
"00160843","2611"
"00160861","20421"
"00161028","45110"
"00161046","212"
"00161116","41221"
"00161125","29172"
"00161301","64209"
"00161383","29271"
"00161408","64911"
"00161426","64992"
"00161444","64121"
"00161462","64209"
"00161639","64919"
"00161693","46431"
"00161709","32029"
"00161781","551"
"00161860","10211"
"00161976","1419"
"00162063","41112"
"00162072","29132"
"00162081","64209"
"00162142","66121"
"00162416","66121"
"00162461","20111"
"00162577","13101"
"00162586","212"
"00162780","4111"
"00162832","303"
"00162911","109"
"00162993","23311"
"00163044","21212"
"00163114","64992"
"00163178","66121"
"00163196","2419"
"00163318","23322"
"00163345","62021"
"00163512","49309"
"00163619","2221"
"00163673","352"
"00163682","66121"
"00163691","715"
"00163716","465"
"00163761","171"
"00163789","24113"
"00164195","141"
"00164292","10421"
"00164308","47121"
"00164362","108"
"00164469","2413"
"00164478","41221"
"00164502","303"
"00164609","3111"
"00164618","109"
"00164636","649"
"00164645","50112"
"00164672","23311"
"00164706","212"
"00164724","29162"
"00164742","30121"
"00164779","2612"
"00164788","303"
"00164812","46800"
"00164830","64992"
"00164876","66121"
"00164955","20411"
"00164973","65121"
"00165060","241"
"00165103","1030"
"00165200","1419"
"00165343","465"
"00165361","70113"
"00165413","20111"
"00165529","20111"
"00165565","30"
"00165583","46713"
"00165680","47859"
"00166175","24123"
"00166227","46800"
"00166272","303"
"00166315","30391"
"00166333","29293"
"00166500","29223"
"00166519","29223"
"00166528","29142"
"00166573","212"
